ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,Appg,PaymentType,PaymentDescription,Value,ReceivedDate,AcceptedDate,ReceivedEndDate,IsSoleBeneficiary,DonorName,DonorPublicAddress,DonorStatus,DonorCompanyName,DonorCompanyUrl,DonorCompanyIdentifier,DonorCompanyIdentifierSource,DonorTrustDetails,DonorOtherDetails,Link,Updated_2
10281,"Kamal Pankhania - £1,500.00",,2024-08-04,2024-08-04,,"Gifts, benefits and hospitality from UK sources",4872,David Simmonds,,In kind,Ticket to the Conservative Party summer fundraising party,1500.00,2024-06-20,2024-06-20,,True,Kamal Pankhania,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10281,
10031,Premier League - £450.00,,2024-08-04,2024-08-04,,"Gifts, benefits and hospitality from UK sources",5149,Amanda Hack,,In kind,ticket with hospitality to watch Arsenal V Everton,450.00,2024-05-19,2024-05-19,,True,Premier League,"Brunel Building, 57 North Wharf Road, London W2 1HQ",Company,Premier League,,02719699,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/10031,
10086,Paul Ormerod - £850.83,,2024-08-04,2024-08-04,,"Gifts, benefits and hospitality from UK sources",5084,Mrs Elsie Blundell,,Monetary,Covered the cost of a venue and catering for a 'thank you' event for people who volunteered on the Heywood and Middleton North General Election campaign.,850.83,2024-07-14,2024-07-14,,True,Paul Ormerod,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10086,
10171,"Richard Harpin - £7,896.00",,2024-08-04,2024-08-04,,"Gifts, benefits and hospitality from UK sources",4483,Rishi Sunak,,In kind,Helicopter travel during the election campaign,7896.00,2024-05-25,2024-05-25,,False,Richard Harpin,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10171,
10169,"Richard David Harpin - £3,600.00",,2024-08-04,2024-08-04,,"Gifts, benefits and hospitality from UK sources",4483,Rishi Sunak,,In kind,Use of helicopter for travel with staff during election campaign,3600.00,2024-05-24,2024-05-24,,False,Richard David Harpin,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10169,
9783,"The Football Association Premier League - £1,250.00",,2024-08-03,2024-08-04,,"Gifts, benefits and hospitality from UK sources",5082,Jake Richards,,In kind,Ticket to the Brit Awards with hospitality,1250.00,2024-03-02,2024-03-02,,True,The Football Association Premier League,"Brunel Building, 57 North Wharf Road, London W2 1HQ",Company,The Football Association Premier League,,02719699,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/9783,
9362,Mentorn Media Limited - £244.40,,2024-08-02,2024-08-04,,"Gifts, benefits and hospitality from UK sources",4769,Daisy Cooper,,In kind,Travel associated with appearing on BBC Question Time,244.40,2024-05-23,2024-05-23,,True,Mentorn Media Limited,"Tinopolis Centre, Park Street, Llanelli, SA15 3YE",Company,Mentorn Media Limited,,02329345,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/9362,
8836,"Lord Waheed Alli - £20,437.28",,2024-08-02,2024-08-04,,"Gifts, benefits and hospitality from UK sources",4514,Sir Keir Starmer,,In kind,Accommodation,20437.28,2024-05-29,2024-05-29,2024-07-13,False,Lord Waheed Alli,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/8836,
9354,Mentorn Media Limited - £297.80,,2024-08-02,2024-08-04,,"Gifts, benefits and hospitality from UK sources",4769,Daisy Cooper,,In kind,Travel associated with appearing on BBC Question Time,297.80,2024-02-08,2024-02-08,,True,Mentorn Media Limited,"Tinopolis Centre, Park Street, Llanelli, SA15 3YE",Company,Mentorn Media Limited,,02329345,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/9354,
9377,Mentorn Media Limited - £113.16,,2024-08-02,2024-08-04,,"Gifts, benefits and hospitality from UK sources",4769,Daisy Cooper,,In kind,"Travel associated with appearing on BBC Question Time, (value is estimated)",113.16,2024-07-05,2024-07-05,,True,Mentorn Media Limited,"Tinopolis Centre, Park Street, Llanelli, SA15 3YE",Company,Mentorn Media Limited,,02329345,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/9377,
