id,summary,parent_interest_id,registered,published,updated_1,category,mnis_id,twfy_id,party,member,payment_received,received_date,job_title,payment_type,payment_description,value,hours_worked,hours_details,is_ultimate_payer_different,ultimate_payer_name,ultimate_payer_protected_by_confidentiality,ultimate_payer_address,ultimate_payer_nature_of_business,is_payment_donated,donatee_paid_by,donatee_type,donatee_details,link,category_code
14457,"Payment received on 14 January 2026 - £11,050.00",14243,2026-02-02,2026-02-02,,Employment and earnings - Ad hoc payments,1508,11541,conservative,Sir Geoffrey Cox,1,,,Monetary,,11050,13,For work undertaken between 1 and 31 December 2025,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/14457,1.1
14458,"Payment received on 14 January 2026 - £7,500.00",4711,2026-02-02,2026-02-02,,Employment and earnings - Ad hoc payments,1508,11541,conservative,Sir Geoffrey Cox,1,,,Monetary,,7500,7.5,For work undertaken between 1 October and 31 December 2025,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/14458,1.1
14456,"Payment received on 07 January 2026 - £1,131.00",5988,2026-01-31,2026-02-02,,Employment and earnings - Ad hoc payments,5067,26346,labour,Tony Vaughan,1,,,Monetary,all work carried out prior to July 2024,1131,3,approximate,1,confidential,0,confidential,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/14456,1.1
14451,"Payment received on 16 January 2026 - £27,400.66",11826,2026-01-30,2026-02-02,,Employment and earnings - Ad hoc payments,4483,25428,conservative,Rishi Sunak,1,,,Monetary,"Part of a quarterly stipend to cover expenses, including travel, necessary to attend meetings and conferences.",27400.66,20,This payment is purely to cover expenses so not for hours worked,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/14451,1.1
14460,Payment received on 29 January 2026 - £347.00,5336,2026-02-02,2026-02-02,,Employment and earnings - Ad hoc payments,4088,24949,labourco-operative,Ms Stella Creasy,1,,,Monetary,"Writing an article for the guardian, payment to be allocated to my staffing budget",347,2,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/14460,1.1
14466,Payment received on 29 January 2026 - £850.00,14465,2026-02-02,2026-02-02,,Employment and earnings - Ad hoc payments,4651,25642,labour,Dan Carden,1,,,Monetary,Article published in the Mail on Sunday on 4th January 2026,850,4,,0,,0,,,1,Donated by the Member to the recipient,Charity,,https://interests-api.parliament.uk/api/v1/Interests/14466,1.1
14444,"Payment received on 29 January 2026 - £4,000.00",12266,2026-01-30,2026-01-30,,Employment and earnings - Ad hoc payments,4095,24916,conservative,Steve Barclay,1,,,Monetary,,4000,10.5,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/14444,1.1
14445,Payment received on 06 March 2025 - £296.68,5336,2026-01-30,2026-01-30,,Employment and earnings - Ad hoc payments,4088,24949,labourco-operative,Ms Stella Creasy,1,,,Monetary,"Writing an article, payment to be allocated to my staffing budget",296.68,2,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/14445,1.1
14337,Payment received on 27 November 2025 - £150.00,5336,2026-01-30,2026-01-30,,Employment and earnings - Ad hoc payments,4088,24949,labourco-operative,Ms Stella Creasy,1,,,Monetary,"for an article written in November 2025, payment to be allocated to my staffing budget",150,2,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/14337,1.1
14428,Payment received on 16 January 2026 - £650.00,12101,2026-01-27,2026-01-28,,Employment and earnings - Ad hoc payments,146,10220,labour,Barry Gardiner,1,,,Monetary,,650,20,Estimated as time required for research and travel,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/14428,1.1
14429,"Payment received on 22 January 2026 - £1,000.00",12619,2026-01-27,2026-01-28,,Employment and earnings - Ad hoc payments,146,10220,labour,Barry Gardiner,1,,,Monetary,,1000,40,estimated includes preparation for seminar and speeches,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/14429,1.1
14432,"Payment received on 28 January 2026 - £1,573.00",6053,2026-01-28,2026-01-28,,Employment and earnings - Ad hoc payments,5357,26631,independent,Ayoub Khan,1,,,Monetary,,1573,176,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/14432,1.1
14409,"Payment received on 23 January 2026 - £1,273.85",11698,2026-01-26,2026-01-27,,Employment and earnings - Ad hoc payments,5360,26632,labour,David Pinto-Duschinsky,1,,,Monetary,,1273.85,0,"This is a payment in respect to my previous employment. It is an amount owing from my employment as an EY Partner, which ended in May 2024 prior to my election",0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/14409,1.1
14413,Payment received on 21 January 2026 - £504.14,9226,2026-01-26,2026-01-27,,Employment and earnings - Ad hoc payments,5091,26352,reform,Nigel Farage,1,,,Monetary,,504.14,4,This is an estimate,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/14413,1.1
