id,category,donateedetails,donateepaidby,donateetype,hours_details,hours_worked,is_ultimate_payer_different,ispaymentdonated,job_title,link,member,mnis_id,parent_interest_id,payment_description,payment_received,payment_type,published,received_date,registered,source_archive,summary,twfy_id,ultimate_payer_name,ultimatepayeraddress,ultimatepayernatureofbusiness,ultimatepayerprotectedbyconfidentiality,updated_1,value
11738,Employment and earnings - Ad hoc payments,,,,,3.00,False,False,Guest presenting LBC Radio programme,https://interests-api.parliament.uk/api/v1/Interests/11738,Sir Jeremy Hunt,1572,11736,,True,Monetary,2025-01-30,2025-01-06,2025-01-30,Apr07_25,"Payment received on 06 January 2025 - £1,000.00",,,,,False,,1000.00
11728,Employment and earnings - Ad hoc payments,,,,,1.00,True,False,Institutional Investor Event - guest speaker,https://interests-api.parliament.uk/api/v1/Interests/11728,Sir Jeremy Hunt,1572,11008,Speaking engagement fee.,True,Monetary,2025-01-30,2025-01-21,2025-01-30,Apr07_25,"Payment received on 21 January 2025 - £10,800.00",,Institutional Investor LLC,"Institutional Investor LLC. 1270 Avenue of the Americas Suite 1100, New York NY 10020, USA","Business to business publisher, focused primarily on international finance.",False,,10800.00
11735,Employment and earnings - Ad hoc payments,,,,,2.15,True,False,Speaking engagement,https://interests-api.parliament.uk/api/v1/Interests/11735,Sir Jeremy Hunt,1572,11008,Speaking engagement,True,Monetary,2025-01-30,2025-01-29,2025-01-30,Apr07_25,"Payment received on 29 January 2025 - £12,000.00",,Pictet,"5 Stratton St, London W1J 8LA",Financial services,False,,12000.00
11699,Employment and earnings - Ad hoc payments,,,,This is a payment in respect of my previous employment. It is an amount owing from employment that ended in May 2024,0.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/11699,David Pinto-Duschinsky,5360,11698,,True,Monetary,2025-01-29,2025-01-23,2025-01-29,Apr07_25,"Payment received on 23 January 2025 - £42,788.63",,,,,False,,42788.63
11706,Employment and earnings - Ad hoc payments,,,,Approximate number of hours worked,35.00,True,False,,https://interests-api.parliament.uk/api/v1/Interests/11706,Dr Neil Shastri-Hurst,5197,6031,(Includes 15% to be deducted for Chambers fees),True,Monetary,2025-01-28,2025-01-27,2025-01-27,Apr07_25,"Payment received on 27 January 2025 - £5,100.00",,Lime Personal Injury  (Part of Shakespeare Martineau LLP),"60 Gracechurch Street, London  EC3V 0HR",Solicitor,False,,5100.00
11709,Employment and earnings - Ad hoc payments,,,,,28.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/11709,Nigel Farage,5091,9240,,True,Monetary,2025-01-28,2025-01-07,2025-01-28,Apr07_25,"Payment received on 07 January 2025 - £27,342.12",26352,,,,False,,27342.12
11712,Employment and earnings - Ad hoc payments,,,,,24.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/11712,Nigel Farage,5091,9226,,True,Monetary,2025-01-28,2025-01-22,2025-01-28,Apr07_25,"Payment received on 22 January 2025 - £1,137.13",26352,,,,False,,1137.13
11718,Employment and earnings - Ad hoc payments,,,,,12.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/11718,Nigel Farage,5091,9226,,True,Monetary,2025-01-28,2025-01-08,2025-01-28,Apr07_25,"Payment received on 08 January 2025 - £1,051.08",26352,,,,False,,1051.08
11713,Employment and earnings - Ad hoc payments,,,,,4.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/11713,Nigel Farage,5091,10624,,True,Monetary,2025-01-28,2025-01-23,2025-01-28,Apr07_25,Payment received on 23 January 2025 - £937.67,26352,,,,False,,937.67
11714,Employment and earnings - Ad hoc payments,,,,,30.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/11714,Nigel Farage,5091,6852,,True,Monetary,2025-01-28,2025-01-15,2025-01-28,Apr07_25,"Payment received on 15 January 2025 - £45,286.80",26352,,,,False,,45286.80
11696,Employment and earnings - Ad hoc payments,,,,,7.00,True,False,,https://interests-api.parliament.uk/api/v1/Interests/11696,Dr Neil Shastri-Hurst,5197,6031,(Includes 15% to be deducted on account of Chambers' fees),True,Monetary,2025-01-27,2025-01-24,2025-01-26,Apr07_25,Payment received on 24 January 2025 - £945.00,,Moosa Duke Solicitors,"11 De Montfort Street, Leicester, Leicestershire, LE1 7GE",Solicitors,False,,945.00
11704,Employment and earnings - Ad hoc payments,,Donated by the Member to the recipient,Charity,,2.00,False,True,,https://interests-api.parliament.uk/api/v1/Interests/11704,Emily Thornberry,1536,11702,"Two £200 fees for appearances on BBC R4's ""Any Questions?"" panels (9 November 2024 and 21 December 2024). Fees donated to local community space, The Crib (Registered charity number 1099205)",True,Monetary,2025-01-27,2025-01-14,2025-01-27,Apr07_25,Payment received on 14 January 2025 - £400.00,,,,,False,,400.00
