id,category,end_date,has_sought_acoba_advice,is_paid_as_director_of_payer,is_until_further_notice,job_title,link,member,mnis_id,parent_interest_id,payer_is_private_individual,payer_name,payer_nature_of_business,payer_public_address,published,registered,source_archive,start_date,summary,twfy_id,updated_1,updated_2,updated_3,updated_4,updated_5,updated_6,updated_7
11736,Employment and earnings,2025-01-03,False,False,True,Guest presenting LBC Radio programme,https://interests-api.parliament.uk/api/v1/Interests/11736,Sir Jeremy Hunt,1572,,False,Global Media and Entertainment Ltd,Media and entertainment company,"30 Leicester Square, London WC2H 7LA",2025-01-30,2025-01-30,Apr07_25,,Guest presenting LBC Radio programme - Global Media and Entertainment Ltd,,,,,,,,
11702,Employment and earnings,,,False,False,"Guest on BBC's ""Any Questions?""",https://interests-api.parliament.uk/api/v1/Interests/11702,Emily Thornberry,1536,,False,BBC Home Services,BBC,"Broadcasting House, Portland Place, London W1A 1AA",2025-01-27,2025-01-27,Apr07_25,,"Guest on BBC's ""Any Questions?"" - BBC Home Services",,,,,,,,
11634,Employment and earnings,,,True,False,Final payment from limited company,https://interests-api.parliament.uk/api/v1/Interests/11634,Gareth Snell,4595,,False,Clayduck Ltd,Communication support,"9 Bridge Street, Bridge Street, Walton-On-Thames KT12 1AE",2025-01-09,2025-01-09,Apr07_25,,Final payment from limited company - Clayduck Ltd,,,,,,,,
11340,Employment and earnings,,,False,False,Audio book recording,https://interests-api.parliament.uk/api/v1/Interests/11340,Yuan Yang,5267,,False,Bloomsbury Publishing,,"50 Bedford Square, London WC1B 3DP",2024-11-25,2024-11-25,Apr07_25,2024-10-08,Audio book recording - Bloomsbury Publishing,,,,,,,,
11269,Employment and earnings,2024-07-20,,False,True,Guest Appearance - Electoral Dysfunction Podcast,https://interests-api.parliament.uk/api/v1/Interests/11269,Emily Thornberry,1536,,False,Sky UK LTD,,"Grant Way, Isleworth TW7 5QD",2024-11-19,2024-11-15,Apr07_25,2024-07-19,Guest Appearance - Electoral Dysfunction Podcast - Sky UK LTD,,,,,,,,
11136,Employment and earnings,,,False,False,Book Royalties,https://interests-api.parliament.uk/api/v1/Interests/11136,Mike Martin,5219,,False,Hurst and Co Publishers,Book publishers,"Somerset House, New Wing, Strand, London WC2R 1LA",2024-11-05,2024-10-31,Apr07_25,,Book Royalties - Hurst and Co Publishers,,,,,,,,
11140,Employment and earnings,2024-09-25,,False,True,Speaking Engagement,https://interests-api.parliament.uk/api/v1/Interests/11140,Nigel Farage,5091,,False,Nomad Capitalist LLC,,"2810 North 3rd Street, Phoenix, Arizona 85004",2024-11-05,2024-10-31,Apr07_25,,Speaking Engagement - Nomad Capitalist LLC,26352,,,,,,,
11029,Employment and earnings,,,False,False,Elected Councillor,https://interests-api.parliament.uk/api/v1/Interests/11029,Lorraine Beavers,5232,,False,Wyre Council,,"Wyre Council Civic Centre, Breck Road, Poulton-le-Fylde, Lancashire FY6 7PU",2024-10-28,2024-10-28,Apr07_25,,Elected Councillor - Wyre Council,,,,,,,,
11093,Employment and earnings,,,False,False,Elected Councillor,https://interests-api.parliament.uk/api/v1/Interests/11093,Lorraine Beavers,5232,,False,Lancashire County Council,Local Authority,"County Hall, Preston PR1 8RL",2024-10-28,2024-10-28,Apr07_25,,Elected Councillor - Lancashire County Council,,,,,,,,
6030,Employment and earnings,2024-09-10,,False,True,Councillor,https://interests-api.parliament.uk/api/v1/Interests/6030,Lisa Smart,5070,,False,Stockport Metropolitan Borough Council,,"Edward Street, Stockport SK1 3UR",2024-10-17,2024-08-01,Apr07_25,,Councillor - Stockport Metropolitan Borough Council,,2024-10-16,,,,,,
11009,Employment and earnings,2024-10-09,,False,True,Keynote Speaker Castle Strategy Day,https://interests-api.parliament.uk/api/v1/Interests/11009,Barry Gardiner,146,,False,Castle Water Ltd,Water Company,"1 Boat Brae, Rattray, Blairgowie PH10 7BH",2024-10-17,2024-10-15,Apr07_25,,Keynote Speaker Castle Strategy Day - Castle Water Ltd,,,,,,,,
6552,Employment and earnings,2024-09-24,,False,True,Local Authority Councillor,https://interests-api.parliament.uk/api/v1/Interests/6552,Chris Kane,5155,,False,Stirling Council,local authority,"Pitt Terrace, Stirling FK82EJ",2024-10-10,2024-07-29,Apr07_25,,Local Authority Councillor - Stirling Council,,2024-10-09,,,,,,
10852,Employment and earnings,,,False,False,Writing articles,https://interests-api.parliament.uk/api/v1/Interests/10852,Torsten Bell,5069,,False,The Observer,,"Kings Place, 90 York Way, London N1 9GU",2024-09-30,2024-09-30,Apr07_25,2024-08-04,Writing articles - The Observer,,,,,,,,
10640,Employment and earnings,,,False,False,Guest on The Jeremy Vine Show,https://interests-api.parliament.uk/api/v1/Interests/10640,Sir Christopher Chope,242,,False,ITN 5 Live,,"200 Gray's Inn Road, London WC1X 8XZ",2024-09-30,2024-09-04,Apr07_25,,Guest on The Jeremy Vine Show - ITN 5 Live,,,,,,,,
6387,Employment and earnings,2024-09-09,,False,True,Councillor,https://interests-api.parliament.uk/api/v1/Interests/6387,Tom Morrison,5090,,False,Stockport Metropolitan Borough Council,,"Stockport Town Hall, Edward Street, Stockport SK1 3XE",2024-09-27,2024-07-16,Apr07_25,2019-05-02,Councillor - Stockport Metropolitan Borough Council,,2024-09-26,,,,,,
10718,Employment and earnings,2024-09-20,,False,True,Writing a foreward to a book,https://interests-api.parliament.uk/api/v1/Interests/10718,Clive Lewis,4500,,False,The National Council for Civil Liberties,The National Council for Civil Liberties operates under trading name Liberty,"Liberty House, 26-30 Strutton Ground, London, SW1P 2HR",2024-09-27,2024-09-27,Apr07_25,,Writing a foreward to a book - The National Council for Civil Liberties,,,,,,,,
10792,Employment and earnings,2024-10-11,,False,True,Councillor,https://interests-api.parliament.uk/api/v1/Interests/10792,Sarah Dyke,4995,,False,Somerset Council,,"County Hall, Taunton TA1 4DY",2024-09-23,2023-08-17,Apr07_25,,Councillor - Somerset Council,,2025-01-30,,,,,,
