id,summary,parent_interest_id,registered,published,updated_1,category,mnis_id,twfy_id,party,member,appg,payment_type,payment_description,value,received_date,accepted_date,received_end_date,is_sole_beneficiary,donor_name,donor_public_address,donor_status,donor_company_name,donor_company_url,donor_company_identifier,donor_company_identifier_source,donor_trust_details,donor_other_details,link,updated_2,category_code
14382,"Paddy Power part of Flutter Entertainment plc - £1,000.00",,2026-01-22,2026-01-26,,Gifts and benefits from sources outside the UK,5294,26430,labour,Amanda Martin,,In kind,Two tickets with hospitality to attend the Professional Darts Association World Darts competition as a guest of Paddy Power,1000,,,,0,Paddy Power part of Flutter Entertainment plc,"Belfield Office Park, Beech Hill Road, Clonskeagh, Dublin 4, Ireland D04 V972",Company,Paddy Power part of Flutter Entertainment plc,,16956,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/14382,,5
14093,"Helping a Hero - £5,000.00",,2025-12-07,2025-12-07,,Gifts and benefits from sources outside the UK,5091,26352,reform,Nigel Farage,,In kind,A seat at the Helping a Hero gala dinner,5000,,,,1,Helping a Hero,"2517 N.Frazier Street, Suite 2200, Conroe, TX 77303",Other,,,,,,Non-profit organisation,https://interests-api.parliament.uk/api/v1/Interests/14093,,5
14043,"Riyadh Season - £1,000.00",,2025-12-02,2025-12-04,,Gifts and benefits from sources outside the UK,5025,26305,labour,Chris Webb,,In kind,"One ticket including hospitality to a boxing show at Tottenham Stadium, in my capacity as Vice Chair of the All-Party Parliamentary Group for Boxing",1000,,,,1,Riyadh Season,"Airport Road, Qurtubah, Riyadh 13244, Saudi Arabia",Company,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/14043,,5
13649,The British School of Brussels - £386.79,,2025-10-28,2025-10-28,,Gifts and benefits from sources outside the UK,4107,24785,conservative,Dame Harriett Baldwin,,In kind,"Annual Trustee meeting of the British School in Brussels. Hospitality included a standard Eurostar return ticket and one night accommodation in order to be able to attend the meeting. Hotel (£214),travel (£172.79)",386.79,,,,1,The British School of Brussels,"The British School of Brussels, Pater Dupierreuxlaan 1, Tervuren, Belgium",Other,,,,,,School,https://interests-api.parliament.uk/api/v1/Interests/13649,,5
13581,Fanatics (International) Limited - £329.50,,2025-10-20,2025-10-20,,Gifts and benefits from sources outside the UK,4407,25381,conservative,Nigel Huddleston,,In kind,Two tickets for NFL game including hospitality for myself and one guest,329.5,,,,0,Fanatics (International) Limited,"Stubbs Mill, 3 Upper Kirby Street, Manchester M4 6FN",Company,Fanatics (International) Limited,,5933624,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13581,,5
13284,"Ailsa Roell - £14,000.00",,2025-09-12,2025-09-15,2025-09-23,Gifts and benefits from sources outside the UK,5325,26544,liberal-democrat,Charlie Maynard,,In kind,"Free accommodation in a family member’s flat since my election. The estimated rental value is £3,500 per month",14000,,,,1,Ailsa Roell,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/13284,2025-11-19,5
13278,"HM Government of Gibraltar - £1,708.00",,2025-09-11,2025-09-11,,Gifts and benefits from sources outside the UK,5294,26430,labour,Amanda Martin,APPG GIBRALTAR,In kind,"Flights (£558), accommodation for 3 nights (£700), meals (£250), taxi (£200)",1708,,,,0,HM Government of Gibraltar,"Gibraltar House, 150 The Strand, London WC2R 1JA",Other,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/13278,,5
13070,"Embassy of the State of Qatar - £1,200.00",,2025-08-05,2025-08-05,,Gifts and benefits from sources outside the UK,39,10632,conservative,Sir John Whittingdale,,In kind,Two tickets to the Qatar Goodwood Festival 2025 and to the Goodwood Regency Ball including hospitality and accommodation for one night,1200,,,,0,Embassy of the State of Qatar,"1 South Audley Street 
London W1K 1NB",Other,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/13070,,5
12757,SM Entertainment - £400.00,,2025-07-21,2025-07-21,,Gifts and benefits from sources outside the UK,4441,25323,conservative,Sir Oliver Dowden,,In kind,4 Tickets and Hospitality for SM Town Live,400,,,,0,SM Entertainment,"Acro Seoul Forest D-Tower, 83-21 Wangsimni-Ro, Seongdong-Gu, Seoul, Korea",Company,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/12757,,5
12866,"Stripe Matter, Inc - £369.00",,2025-07-10,2025-07-10,,Gifts and benefits from sources outside the UK,5282,26502,labour,Dan Tomlinson,,In kind,"Attendance at conference in the UK, including one night hotel accommodation and food and drink while in attendance",369,,,,1,"Stripe Matter, Inc","354 Oyster Point Boulevard
South San Francisco
CA 94080
US",Company,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/12866,,5
