id,accepteddate,appg,category,donor_name,donor_public_address,donor_status,donorcompanyidentifier,donorcompanyidentifiersource,donorcompanyname,donorcompanyurl,donorotherdetails,donortrustdetails,issolebeneficiary,link,member,mnis_id,parent_interest_id,payment_description,payment_type,published,received_date,receivedenddate,registered,source_archive,summary,twfy_id,updated_1,value
11267,2024-10-18,,Gifts and benefits from sources outside the UK,Azad Government of the State of Jammu & Kashmir,"Services & General Administration Department, Central Transport Pool G0, Azad Government of the State of Jammu & Kashmir, Muzzadarabad",Other,,,,,Government,,False,https://interests-api.parliament.uk/api/v1/Interests/11267,Mohammad Yasin,4598,,Transport was provided for me and up to six other family members during my recent trip to Pakistan,In kind,2024-11-18,2024-10-18,2024-11-03,2024-11-14,Apr07_25,Azad Government of the State of Jammu & Kashmir - £707.00,,,707.00
10782,2024-08-28,,Gifts and benefits from sources outside the UK,Ayita LLC,"Ayita LLC
10351 Washington Blvd, Culver City, CA 90232",Company,,,,,,,True,https://interests-api.parliament.uk/api/v1/Interests/10782,Angela Rayner,4356,,"Hospitality - visit to DJ booth, Hï Ibiza",In kind,2024-09-25,2024-08-28,,2024-09-25,Apr07_25,Ayita LLC - £836.00,,,836.00
10723,2024-09-02,,Gifts and benefits from sources outside the UK,Mr Ronald Chagoury,,Individual,,,,,,,False,https://interests-api.parliament.uk/api/v1/Interests/10723,Helen Grant,4018,,"Accommodation at the Peninsula Hotel, 19 Av. Kléber, 75116 Paris, France - value €1700 Euro - equivalent to GBP @1.18 = £1440.  I was accompanied by my husband",In kind,2024-09-17,2024-09-02,2024-09-03,2024-09-17,Apr07_25,"Mr Ronald Chagoury - £1,440.00",,,1440.00
9052,2024-06-11,,Gifts and benefits from sources outside the UK,The Lord (Philip) Harris of Peckham,,Individual,,,,,,,True,https://interests-api.parliament.uk/api/v1/Interests/9052,Alison Griffiths,5203,,for general election campaign expenditure,Monetary,2024-08-04,2024-06-11,,2024-08-01,Aug04_24,"The Lord (Philip) Harris of Peckham - £5,000.00",,,5000.00
4566,2024-03-04,,Gifts and benefits from sources outside the UK,Stripe Press Inc,"354 Oyster Point Boulevard, South San Francisco, CA 94080, United States",Friendly society,,,,,,,True,https://interests-api.parliament.uk/api/v1/Interests/4566,Neil O'Brien,4679,,Meals and accommodation at small group retreat in Guildford,In kind,2024-03-22,2024-03-04,2024-03-06,2024-03-19,Aug04_24,Stripe Press Inc - £414.00,,,414.00
3242,2024-01-13,,Gifts and benefits from sources outside the UK,Association of Marshall Scholars,"67 35th Street, Unit B-513 Brooklyn, NY 11232",Unincorporated association,,,,,,,True,https://interests-api.parliament.uk/api/v1/Interests/3242,Stephen Doughty,4264,,"Associated with participating in a cross-party conference, accommodation (£315) and hospitality (£150)",In kind,2024-03-06,2024-01-13,2024-01-14,2024-02-07,Aug04_24,Association of Marshall Scholars - £465.00,,,465.00
3238,2024-01-13,,Gifts and benefits from sources outside the UK,Association of Marshall Scholars,"168 Prospect Park SW, Brooklyn, NY 11218, USA",Other,,,,,US non-profit endowment,,True,https://interests-api.parliament.uk/api/v1/Interests/3238,Dame Harriett Baldwin,4107,,"Associated with taking part in the US-UK legislative exchange in Oxford, hospitality and accommodation",In kind,2024-03-06,2024-01-13,2024-01-14,2024-01-26,Aug04_24,Association of Marshall Scholars - £465.00,,,465.00
601,2023-08-02,,Gifts and benefits from sources outside the UK,Qatar Racing and Equestrian Club (Qatar Ministry of Sports and Culture) and the Embassy of the State of Qatar,"1 South Audley Street, London W1K 1NB",Other,,,,,,,False,https://interests-api.parliament.uk/api/v1/Interests/601,Sir John Whittingdale,39,,Two tickets to Qatar Goodwood Festival 2023 including hospitality and accommodation for one night,In kind,2023-12-03,2023-08-02,,2023-08-07,Aug04_24,Qatar Racing and Equestrian Club (Qatar Ministry of Sports and Culture) and the Embassy of the State of Qatar - £600.00,,,600.00
595,2023-07-31,,Gifts and benefits from sources outside the UK,Qatar Racing and Equestrian Club (Qatar Ministry of Sports and Culture),"PO Box 7559, Doha, State of Qatar",Other,,,,,,,True,https://interests-api.parliament.uk/api/v1/Interests/595,Esther McVey,4084,,"Guest at Qatar Goodwood Festival 2023, including accommodation, hospitality and lunch",In kind,2023-12-03,2023-07-31,2023-08-02,2023-08-21,Aug04_24,Qatar Racing and Equestrian Club (Qatar Ministry of Sports and Culture) - £575.00,,,575.00
596,2023-10-08,,Gifts and benefits from sources outside the UK,HM Government of Gibraltar,"Gibraltar House, 150 Strand, London WC2R 1JA",Other,,,,,,,True,https://interests-api.parliament.uk/api/v1/Interests/596,Stephen Morgan,4653,,Four nights' accommodation during the Labour Party Conference,In kind,2023-12-03,2023-10-08,2023-10-11,2023-10-24,Aug04_24,"HM Government of Gibraltar - £1,275.00",,,1275.00
