id,summary,parent_interest_id,registered,published,updated_1,category,mnis_id,twfy_id,party,member,regularity_of_payment,start_date,end_date,period_for_hours_worked,job_title,payment_type,payment_description,value,hours_worked,hours_details,is_ultimate_payer_different,ultimate_payer_name,ultimate_payer_protected_by_confidentiality,ultimate_payer_address,ultimate_payer_nature_of_business,is_payment_donated,donatee_paid_by,donatee_type,donatee_details,link,updated_2,updated_3,updated_4,updated_5,updated_6,category_code
14449,"Agreement starting 21 October 2025 - £28,500.00",13627,2026-02-02,2026-02-02,,Employment and earnings - Ongoing paid employment,4483,25428,conservative,Rishi Sunak,Quarterly,,,Weekly,,Monetary,,28500,5,Hours worked are estimated,0,,0,,,1,Donated by the Member to the recipient,Charity,,https://interests-api.parliament.uk/api/v1/Interests/14449,,,,,,1.2
14273,"Agreement starting 26 September 2025 - £373,000.00",13630,2026-01-09,2026-01-09,,Employment and earnings - Ongoing paid employment,4483,25428,conservative,Rishi Sunak,Yearly,,,Yearly,,In kind,"3,547 shares in total over the year, based on a vesting schedule. Amount of payment below is based on the private market valuation of the Company at commencement of contract. Value calculated in USD and converted to GBP at current market rate.",373000,70,Estimated and approximate hours,0,,0,,,1,Donated by the Member to the recipient,Charity,,https://interests-api.parliament.uk/api/v1/Interests/14273,,,,,,1.2
14270,"Agreement starting 02 January 2026 - £52,000.00",14269,2026-01-07,2026-01-07,,Employment and earnings - Ongoing paid employment,4366,25376,conservative,Sir James Cleverly,Yearly,,,Weekly,,Monetary,paid monthly,52000,7,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/14270,,,,,,1.2
14051,Agreement starting 01 December 2025 - £418.78,13302,2025-12-03,2025-12-03,,Employment and earnings - Ongoing paid employment,5239,26585,liberal-democrat,Sarah Gibson,Monthly,,,Yearly,,Monetary,,418.78,189.8,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/14051,,,,,,1.2
13942,Agreement starting 18 November 2025 - £0.00,13941,2025-11-22,2025-11-22,,Employment and earnings - Ongoing paid employment,4074,24824,conservative,Mark Garnier,Yearly,,,Monthly,,In kind,"Growth shares relating to the business, number still to be determined. This is in lieu of payment until such time as the company achieves financial targets that set the threshold for remuneration. (The contract was signed on the 18th November, but the terms are backdated to the 22 September.)",0,8,approximate,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/13942,,,,,,1.2
13832,"Agreement starting 15 September 2025 - £4,000.00",13571,2025-11-14,2025-11-14,,Employment and earnings - Ongoing paid employment,4108,24729,conservative,Sir Gavin Williamson,Monthly,,,Weekly,,Monetary,,4000,7,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/13832,,,,,,1.2
4708,"Agreement - £15,000.00",4707,2015-05-01,2025-10-28,2014-03-19,Employment and earnings - Ongoing paid employment,249,10119,conservative,Sir Geoffrey Clifton-Brown,Yearly,,,Yearly,,In kind,The use of a car belonging to the partnership (value as at 29 September 2025),15000,268,maximum,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/4708,2019-10-31,2020-11-11,2022-11-22,2025-01-03,2025-10-27,1.2
13339,"Agreement starting 27 August 2025 - £1,458.00",13338,2025-09-19,2025-09-19,,Employment and earnings - Ongoing paid employment,4651,25642,labour,Dan Carden,Monthly,,,Monthly,,In kind,"Share options of 0.1% (valued at £35,000 in total)",1458,5,approximately,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/13339,,,,,,1.2
13098,"Agreement starting 01 July 2025 - £25,000.00",13096,2025-08-12,2025-08-12,,Employment and earnings - Ongoing paid employment,4495,25346,conservative,Kit Malthouse,Yearly,,,Monthly,,Monetary,,25000,35,Hours worked between 10-35 hours/month,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/13098,,,,,,1.2
13004,Agreement starting 15 July 2025 - £416.67,13003,2025-07-25,2025-07-28,,Employment and earnings - Ongoing paid employment,4853,25875,conservative,Dr Neil Hudson,Monthly,,,Monthly,,Monetary,(£5000 per annum),416.67,7,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/13004,,,,,,1.2
