id,category,donateedetails,donateepaidby,donateetype,end_date,hours_details,hours_worked,is_ultimate_payer_different,ispaymentdonated,job_title,link,member,mnis_id,parent_interest_id,payment_description,payment_type,periodforhoursworked,published,registered,regularity_of_payment,source_archive,start_date,summary,twfy_id,ultimate_payer_name,ultimatepayeraddress,ultimatepayernatureofbusiness,ultimatepayerprotectedbyconfidentiality,updated_1,updated_2,updated_3,updated_4,updated_5,value
4829,Employment and earnings - Ongoing paid employment,,,,2024-04-17,,12.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/4829,Barry Gardiner,146,4828,paid monthly,Monetary,Monthly,2024-11-20,2022-12-14,Yearly,Apr07_25,2022-11-22,"Agreement starting 22 November 2022 - £33,000.00",,,,,False,2024-10-29,,,,,33000.00
11070,Employment and earnings - Ongoing paid employment,,,,,No hours worked,0.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/11070,Andy MacNae,5134,6685,Use of company vehicle. (Since leaving the company employment on 5 July I have retained use of the company vehicle until it is sold),In kind,Yearly,2024-10-28,2024-10-28,Yearly,Apr07_25,,"Agreement - £3,960.00",,,,,False,,,,,,3960.00
11092,Employment and earnings - Ongoing paid employment,,,,2025-01-15,approximate hours,20.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/11092,Lorraine Beavers,5232,11029,"approximate annual allowance, paid monthly. A portion of this sum has been donated to local charities.",Monetary,Monthly,2024-10-28,2024-10-28,Yearly,Apr07_25,2024-07-15,"Agreement starting 15 July 2024 - £4,704.39",,,,,False,2025-01-29,,,,,4704.39
11094,Employment and earnings - Ongoing paid employment,,,,2025-01-01,approximate,20.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/11094,Lorraine Beavers,5232,11093,"approximate annual allowance, paid monthly. A portion of this sum has been donated to local charities.",Monetary,Monthly,2024-10-28,2024-10-28,Yearly,Apr07_25,,"Agreement - £13,777.00",,,,,False,2025-01-29,,,,,13777.00
6037,Employment and earnings - Ongoing paid employment,,,,2024-09-10,estimate of average hours,20.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/6037,Lisa Smart,5070,6030,including a Special Responsibility Allowance,Monetary,Monthly,2024-10-17,2024-08-02,Monthly,Apr07_25,,"Agreement - £1,444.78",,,,,False,2024-09-02,2024-10-16,,,,1444.78
6557,Employment and earnings - Ongoing paid employment,,,,2024-09-24,this is an approximate number,20.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/6557,Chris Kane,5155,6552,,Monetary,Weekly,2024-10-10,2024-07-31,Monthly,Apr07_25,,"Agreement - £2,791.72",,,,,False,2024-10-09,,,,,2791.72
10886,Employment and earnings - Ongoing paid employment,,,,2024-09-06,,0.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/10886,Peter Lamb,5345,6111,,Monetary,Monthly,2024-10-09,2024-10-03,Monthly,Apr07_25,2010-05-06,Agreement starting 06 May 2010 - £115.23,,,,,False,,,,,,115.23
10716,Employment and earnings - Ongoing paid employment,,,,2024-09-06,,0.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/10716,Peter Lamb,5345,6111,,Monetary,Monthly,2024-10-09,2024-10-03,Monthly,Apr07_25,2010-05-06,Agreement starting 06 May 2010 - £619.50,,,,,False,,,,,,619.50
6406,Employment and earnings - Ongoing paid employment,,,,2024-09-09,,17.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/6406,Tom Morrison,5090,6387,,Monetary,Weekly,2024-09-27,2024-07-23,Monthly,Apr07_25,,Agreement - £921.22,,,,,False,2024-09-26,,,,,921.22
8266,Employment and earnings - Ongoing paid employment,,,,2024-11-30,This is an approximate number of hours worked,90.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/8266,Susan Murray,5157,7158,,Monetary,Monthly,2024-09-27,2024-07-30,Yearly,Apr07_25,2017-05-05,"Agreement starting 05 May 2017 - £21,345.00",,,,,False,2024-09-25,2024-12-16,,,,21345.00
10793,Employment and earnings - Ongoing paid employment,,,,,,7.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/10793,Sarah Dyke,4995,10792,,Monetary,Weekly,2024-09-23,2023-08-17,Monthly,Apr07_25,2023-07-31,"Agreement starting 31 July 2023 - £1,223.38",,,,,False,,,,,,1223.38
7154,Employment and earnings - Ongoing paid employment,,,,2024-08-23,estimated hours,10.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/7154,Peter Prinsley,5163,7153,,Monetary,Monthly,2024-09-11,2024-07-25,Monthly,Apr07_25,,Agreement - £393.50,,,,,False,2024-08-23,,,,,393.50
6132,Employment and earnings - Ongoing paid employment,,,,2024-07-31,approximate hours worked,16.00,False,False,advice and scrutiny,https://interests-api.parliament.uk/api/v1/Interests/6132,Vikki Slade,5327,6131,,Monetary,Monthly,2024-09-02,2024-07-11,Yearly,Apr07_25,2024-07-05,"Agreement starting 05 July 2024 - £9,627.00",,,,,False,2024-08-17,2024-09-06,,,,9627.00
8630,Employment and earnings - Ongoing paid employment,,,,2024-07-30,estimated,35.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/8630,Satvir Kaur,5271,8627,,Monetary,Weekly,2024-09-02,2024-08-02,Yearly,Apr07_25,2011-05-02,"Agreement starting 02 May 2011 - £13,900.00",,,,,False,,,,,,13900.00
7898,Employment and earnings - Ongoing paid employment,,,,2024-07-24,Hours worked are approximate.,22.50,False,False,Deputy Leader of the Council and Cabinet Member,https://interests-api.parliament.uk/api/v1/Interests/7898,Marie Goldman,5073,7897,,Monetary,Weekly,2024-09-02,2024-07-31,Monthly,Apr07_25,,"Agreement - £1,433.50",,,,,False,2024-08-30,,,,,1433.50
7983,Employment and earnings - Ongoing paid employment,,,,2024-07-31,Approximate,10.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/7983,Callum Anderson,5193,7978,I received the allowance in July 2024 but declined the allowance for August 2024.,Monetary,Weekly,2024-09-02,2024-08-03,Monthly,Apr07_25,,"Agreement - £1,083.69",,,,,False,2024-08-23,,,,,1083.69
9585,Employment and earnings - Ongoing paid employment,,,,2024-07-30,hours vary with council business,20.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/9585,Martin Wrigley,5111,6541,,Monetary,Weekly,2024-08-30,2024-08-02,Monthly,Apr07_25,,"Agreement - £1,715.58",,,,,False,2024-08-29,,,,,1715.58
6104,Employment and earnings - Ongoing paid employment,,,,2024-08-13,Hours are approximate,37.50,False,False,,https://interests-api.parliament.uk/api/v1/Interests/6104,Graham Leadbitter,5277,6102,,Monetary,Weekly,2024-08-28,2024-07-11,Monthly,Apr07_25,,"Agreement - £2,223.83",,,,,False,2024-08-20,,,,,2223.83
9831,Employment and earnings - Ongoing paid employment,,,,2024-12-13,approximately,15.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/9831,Shaun Davies,5041,9829,,Monetary,Monthly,2024-08-04,2024-08-03,Monthly,Apr07_25,2024-07-04,Agreement starting 04 July 2024 - £710.00,,,,,False,2024-12-09,,,,,710.00
8906,Employment and earnings - Ongoing paid employment,,,,2024-08-08,,15.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/8906,Rebecca Smith,5301,8904,,Monetary,Weekly,2024-08-04,2024-08-01,Monthly,Apr07_25,,"Agreement - £1,263.00",,,,,False,,,,,,1263.00
7641,Employment and earnings - Ongoing paid employment,,,,2024-07-04,Final payment of salary,37.50,False,False,,https://interests-api.parliament.uk/api/v1/Interests/7641,Darren Paffey,5270,7640,,Monetary,Weekly,2024-08-04,2024-07-29,Monthly,Apr07_25,,"Agreement - £3,037.37",,,,,False,,,,,,3037.37
10028,Employment and earnings - Ongoing paid employment,,,,2024-07-31,"As a County Councillor, hours worked varies from week to week.",40.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/10028,Amanda Hack,5149,6871,Allowance for being a County Councillor,Monetary,Monthly,2024-08-04,2024-08-04,Monthly,Apr07_25,,"Agreement - £1,449.42",,,,,False,,,,,,1449.42
7528,Employment and earnings - Ongoing paid employment,,,,2024-09-06,approximated,6.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/7528,Sojan Joseph,5247,7265,It varies every month depending on the expenses and number of council meetings.,Monetary,Weekly,2024-08-04,2024-07-26,Monthly,Apr07_25,2023-05-05,Agreement starting 05 May 2023 - £462.59,,,,,False,2024-09-19,,,,,462.59
9851,Employment and earnings - Ongoing paid employment,,,,2024-07-05,Final payment of salary up to and including the date of the 2024 general election.,40.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/9851,Callum Anderson,5193,9849,,Monetary,Weekly,2024-08-04,2024-08-03,Monthly,Apr07_25,,"Agreement - £5,771.99",,,,,False,,,,,,5771.99
10212,Employment and earnings - Ongoing paid employment,,,,2024-07-04,Maximum,37.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/10212,Lillian Jones,5043,8158,Approximate,Monetary,Weekly,2024-08-04,2024-08-04,Monthly,Apr07_25,2007-07-04,"Agreement starting 04 July 2007 - £3,280.00",,,,,False,,,,,,3280.00
7339,Employment and earnings - Ongoing paid employment,,,,2024-07-15,,35.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/7339,Deirdre Costigan,5075,7336,,Monetary,Weekly,2024-08-04,2024-08-01,Monthly,Apr07_25,,Agreement - £852.90,,,,,False,,,,,,852.90
6885,Employment and earnings - Ongoing paid employment,,,,2024-10-05,Minimum contracted hours,32.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/6885,Luke Taylor,5103,6078,,Monetary,Weekly,2024-08-04,2024-07-22,Monthly,Apr07_25,2016-02-01,"Agreement starting 01 February 2016 - £5,953.34",,,,,False,2024-09-19,,,,,5953.34
9214,Employment and earnings - Ongoing paid employment,,,,2024-08-22,(estimated),25.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/9214,Elaine Stewart,5206,8070,final payment for this role,Monetary,Weekly,2024-08-04,2024-08-03,Monthly,Apr07_25,,"Agreement - £1,778.75",,,,,False,,,,,,1778.75
9926,Employment and earnings - Ongoing paid employment,,,,2024-08-02,Number of hours worked is approximate,30.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/9926,Pippa Heylings,5078,9909,,Monetary,Weekly,2024-08-04,2024-08-03,Monthly,Apr07_25,2013-04-10,"Agreement starting 10 April 2013 - £1,047.50",,,,,False,,,,,,1047.50
8313,Employment and earnings - Ongoing paid employment,,,,,,10.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/8313,Paulette Hamilton,4938,4017,,Monetary,Monthly,2024-08-04,2024-07-30,Monthly,Apr07_25,,Agreement - £300.00,,,,,False,,,,,,300.00
8288,Employment and earnings - Ongoing paid employment,,,,2024-07-10,Estimated hours.,10.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/8288,Lloyd Hatton,5217,8284,,Monetary,Weekly,2024-08-04,2024-08-04,Monthly,Apr07_25,,"Agreement - £2,271.84",,,,,False,,,,,,2271.84
7290,Employment and earnings - Ongoing paid employment,,,,2024-07-25,,37.50,False,False,,https://interests-api.parliament.uk/api/v1/Interests/7290,Connor Naismith,5273,7268,Regular salary payment,Monetary,Weekly,2024-08-04,2024-07-24,Monthly,Apr07_25,,"Agreement - £2,405.54",,,,,False,,,,,,2405.54
7676,Employment and earnings - Ongoing paid employment,,,,,This is estimated and varies,60.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/7676,David Williams,5151,7521,The payment will be ceased from August onwards; I am also going to repay the allowance received in July.,Monetary,Monthly,2024-08-04,2024-08-01,Monthly,Apr07_25,,"Agreement - £1,000.00",,,,,False,,,,,,1000.00
8220,Employment and earnings - Ongoing paid employment,,,,2024-08-08,approx.,20.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/8220,Mr Jonathan Brash,5045,7361,,Monetary,Monthly,2024-08-04,2024-07-30,Monthly,Apr07_25,,Agreement - £694.17,,,,,False,,,,,,694.17
8331,Employment and earnings - Ongoing paid employment,,,,,(estimated).,25.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/8331,Kenneth Stevenson,5200,8327,,Monetary,Weekly,2024-08-04,2024-08-04,Monthly,Apr07_25,,"Agreement - £1,256.81",,,,,False,,,,,,1256.81
8019,Employment and earnings - Ongoing paid employment,,,,,approx.,15.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/8019,Emily Darlington,5139,8018,,Monetary,Weekly,2024-08-04,2024-08-02,Monthly,Apr07_25,,"Agreement - £1,024.93",,,,,False,,,,,,1024.93
9076,Employment and earnings - Ongoing paid employment,,,,2024-07-05,,20.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/9076,James Naish,5047,9069,This is an estimate,Monetary,Weekly,2024-08-04,2024-08-01,Monthly,Apr07_25,,"Agreement - £1,600.00",,,,,False,,,,,,1600.00
10157,Employment and earnings - Ongoing paid employment,,,,2024-05-20,maximum hours worked weekly.,30.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/10157,Kirith Entwistle,5095,10153,Approx.,Monetary,Weekly,2024-08-04,2024-08-04,Monthly,Apr07_25,,"Agreement - £2,463.56",,,,,False,,,,,,2463.56
8570,Employment and earnings - Ongoing paid employment,,,,2024-08-01,,16.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/8570,Dr Lauren Sullivan,5269,8539,,Monetary,Weekly,2024-08-04,2024-07-31,Monthly,Apr07_25,,"Agreement - £1,976.39",,,,,False,,,,,,1976.39
7328,Employment and earnings - Ongoing paid employment,,,,2024-07-05,,25.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/7328,Rachel Taylor,5065,7327,,Monetary,Monthly,2024-08-04,2024-07-25,Monthly,Apr07_25,2023-05-03,Agreement starting 03 May 2023 - £436.54,,,,,False,,,,,,436.54
7746,Employment and earnings - Ongoing paid employment,,,,2024-08-31,Approximate time spent handing-over during my notice period.,20.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/7746,Jack Rankin,5340,7745,,Monetary,Monthly,2024-08-04,2024-07-29,Monthly,Apr07_25,,"Agreement - £8,750.00",,,,,False,2024-09-04,,,,,8750.00
10201,Employment and earnings - Ongoing paid employment,,,,2024-07-31,Approximately,30.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/10201,Lillian Jones,5043,8155,Approximate,Monetary,Weekly,2024-08-04,2024-08-04,Monthly,Apr07_25,2012-05-04,"Agreement starting 04 May 2012 - £2,449.13",,,,,False,,,,,,2449.13
10203,Employment and earnings - Ongoing paid employment,,,,2024-08-09,These are my regular contracted hours,37.50,False,False,,https://interests-api.parliament.uk/api/v1/Interests/10203,Ben Maguire,5350,10178,I sometimes received a small additional and variable bonus payment,Monetary,Weekly,2024-08-04,2024-08-04,Monthly,Apr07_25,,"Agreement - £7,720.87",,,,,False,,,,,,7720.87
9523,Employment and earnings - Ongoing paid employment,,,,2024-10-15,this is an approximate number. I am resigning as Chair of the Board of Trustees of the Local Government Information Unit (LGiU) on 15 October 2024 and will therefore no longer be remunerated for this role.,5.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/9523,Michael Payne,5146,9521,Honorarium paid for the role of Chair of the LGiU Board and is a yearly payment paid quarterly. *No longer remunerated for this role from 15 October 2024.,Monetary,Weekly,2024-08-04,2024-08-02,Yearly,Apr07_25,,"Agreement - £8,000.00",,,,,False,2024-10-12,,,,,8000.00
5422,Employment and earnings - Ongoing paid employment,,,,2024-09-30,Contract terminated in September 2024.,8.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/5422,George Freeman,4020,5421,"Payment was not received, as the contract was terminated in September 2024.",Monetary,Monthly,2024-08-04,2024-07-31,Monthly,Apr07_25,2024-09-02,"Agreement starting 02 September 2024 - £2,000.00",,,,,False,2024-10-15,,,,,2000.00
9533,Employment and earnings - Ongoing paid employment,,,,2024-09-27,this is an approximate number.,30.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/9533,Michael Payne,5146,9527,"total combined allowance for the roles of Chair and Member of Nottinghamshire & City of Nottingham Fire Authority, which is paid monthly.",Monetary,Weekly,2024-08-04,2024-08-02,Yearly,Apr07_25,,"Agreement - £29,831.16",,,,,False,2024-10-14,,,,,29831.16
9697,Employment and earnings - Ongoing paid employment,,,,2024-09-27,Estimated,120.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/9697,Michelle Welsh,5226,7380,"allowance, paid monthly",Monetary,Monthly,2024-08-04,2024-08-03,Yearly,Apr07_25,,"Agreement - £16,512.00",,,,,False,2024-08-21,2024-09-24,2024-10-14,,,16512.00
10264,Employment and earnings - Ongoing paid employment,,,,,,0.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/10264,Peter Lamb,5345,6111,,Monetary,Monthly,2024-08-04,2024-08-04,Monthly,Apr07_25,,Agreement - £619.50,,,,,False,,,,,,619.50
8281,Employment and earnings - Ongoing paid employment,,,,2024-07-26,,38.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/8281,Lloyd Hatton,5217,8277,,Monetary,Weekly,2024-08-04,2024-08-04,Monthly,Apr07_25,,"Agreement - £1,826.94",,,,,False,,,,,,1826.94
9721,Employment and earnings - Ongoing paid employment,,,,2024-09-25,Estimated,25.00,False,False,,https://interests-api.parliament.uk/api/v1/Interests/9721,Michelle Welsh,5226,9710,"allowance, paid monthly",Monetary,Weekly,2024-08-04,2024-08-02,Yearly,Apr07_25,,"Agreement - £4,654.00",,,,,False,2024-09-24,2024-10-14,,,,4654.00
