id,parent_interest_id,member,party,mnis_id,twfy_id,category,category_code,summary
495,,Jon Trickett,labour,410,10604,Donations and other support (including loans) for activities as an MP,2,"Communications Workers' Union - £2,000.00"
818,,Dame Siobhain McDonagh,labour,193,10381,"Gifts, benefits and hospitality from UK sources",3,"Waheed Alli - £1,200,000.00"
1049,,Ed Davey,liberal-democrat,188,10155,"Gifts, benefits and hospitality from UK sources",3,National Liberal Club - £798.00
1117,,Tim Farron,liberal-democrat,1591,11923,"Gifts, benefits and hospitality from UK sources",3,"National Liberal Club - £1,102.50"
1193,,Ruth Cadbury,labour,4389,25343,Family members engaged in third-party lobbying,10,Nicholas Gash employed as Lobbyist
1194,,Feryal Clark,labour,4822,25896,Family members engaged in third-party lobbying,10,Andrew Clark employed as Lobbyist
1197,,Sarah Green,liberal-democrat,4918,26034,Family members engaged in third-party lobbying,10,Daniel Paterson employed as Lobbyist
1198,,Dame Nia Griffith,labour,1541,11692,Family members engaged in third-party lobbying,10,Philip Brady employed as Lobbyist
1200,,Sarah Jones,labour,4631,25673,Family members engaged in third-party lobbying,10,Joseph Jones employed as Lobbyist
1203,,Sir Mark Tami,labour,1383,11267,Family members engaged in third-party lobbying,10,Oscar Tami employed as Lobbyist
1205,,Sir John Whittingdale,conservative,39,10632,Family members engaged in third-party lobbying,10,Alice Whittingdale employed as Lobbyist
1220,,Ms Diane Abbott,independent,172,10001,Miscellaneous,8,"Since December 2015, a trustee of the Diane Abbott Foundation, which works to excel and improve education. This is an unpaid role."
1222,,Tahir Ali,labour,4747,25888,Miscellaneous,8,"Engineer, Royal Mail. On unpaid leave since 13 December 2019."
1224,,Mr Gregory Campbell,dup,1409,10780,Miscellaneous,8,Unremunerated interests currently registered on the NI Assembly website register do not appear here as they are not registrable under House of Commons rules.
1227,,Sir Christopher Chope,conservative,242,10103,Miscellaneous,8,Retired barrister.
1253,,Daniel Zeichner,labour,4382,25386,Miscellaneous,8,A Director of the Industry & Parliament Trust. This is an unpaid role.
1255,,James Wild,conservative,4787,25866,Miscellaneous,8,Member of the King’s Lynn Town Deal Board. This is an unpaid role.
1256,,James Wild,conservative,4787,25866,Miscellaneous,8,"Governor, King Edward VII Academy. This is an unpaid position on the Academy Committee."
1264,,Karl Turner,labour,4030,24767,Miscellaneous,8,Trustee of Pelican Park Community Trust. This is an unpaid role.
1269,,Sir Jeremy Wright,conservative,1560,11791,Miscellaneous,8,Barrister (non-practising).
1271,,Sammy Wilson,dup,1593,11374,Miscellaneous,8,Board Member of the Centre for Brexit Policy. This is an unpaid role.
1330,,John Glen,conservative,4051,24839,Shareholdings,7,Shares in Endava Ltd
1331,,John Glen,conservative,4051,24839,Shareholdings,7,Shares in Softiron
1332,,John Glen,conservative,4051,24839,Shareholdings,7,Shares in Blue Gold Ltd (BGL)
1334,,Kevin Hollinrake,conservative,4474,25415,Shareholdings,7,Shares in Property Franchise Group plc
1337,,Matt Western,labour,4617,25701,Shareholdings,7,Shares in Apple
1342,,Sir Andrew Mitchell,conservative,1211,11115,Shareholdings,7,Shares in Equinox International Holdings Limited
1345,,Jesse Norman,conservative,3991,24827,Shareholdings,7,Shares in Genie International Toys
1347,,Wendy Chamberlain,liberal-democrat,4765,25872,Miscellaneous,8,"From my election to parliament, unremunerated trustee of the Links Trust, St Andrews, which manages the golf courses owned by the public around the town. As a trustee I receive a card entitling me to 25% discount in the golf course shops or restaurants."
1353,,Jerome Mayhew,conservative,4739,25904,Shareholdings,7,Shares in Walsingham Estate Co Ltd (beneficial interest)
1355,,Nigel Huddleston,conservative,4407,25381,Shareholdings,7,Shares in Alphabet Inc.
1387,,Sir James Cleverly,conservative,4366,25376,Miscellaneous,8,Officer in the Reserve Forces. I have received no payments since my election.
1389,,Sir Geoffrey Clifton-Brown,conservative,249,10119,Miscellaneous,8,Fellow of the Royal Institute of Chartered Surveyors (unremunerated).
1390,,Sir Geoffrey Clifton-Brown,conservative,249,10119,Miscellaneous,8,Director of Gresham Hall Glamping Ltd (unremunerated).
1394,,Daisy Cooper,liberal-democrat,4769,25901,Miscellaneous,8,"Vice President of the Local Government Association (LGA), which works with councils to support, promote and improve local government."
1395,,Jeremy Corbyn,independent,185,10133,Miscellaneous,8,"Unpaid director of the Peace and Justice Project, a company limited by guarantee. The company promotes peace and justice issues, both domestic and international."
1399,,Claire Coutinho,conservative,4806,25890,Miscellaneous,8,"I have been involved in fundraising activities for the Friendship Project, a ringfenced fund managed by the Tandridge Community Fund. This raises money for distribution to groups working to address social isolation in East Surrey. I will be consulted but will not have a final say on how funds are distributed."
1402,,Ms Stella Creasy,labourco-operative,4088,24949,Miscellaneous,8,Chair of the Labour Movement for Europe. This is an unpaid role.
1406,,Ed Davey,liberal-democrat,188,10155,Miscellaneous,8,"Board Member (unpaid) of Fit for the Future, a network of mainly charities helping organisations to become climate-friendly and resilient."
1407,,Ed Davey,liberal-democrat,188,10155,Miscellaneous,8,"Trustee of Tourism for all, a charity."
1409,,Ed Davey,liberal-democrat,188,10155,Miscellaneous,8,"Board member of POWERful Women (PfW), a professional initiative to advance gender diversity within the energy sector."
1410,,Mims Davies,conservative,4513,25330,Miscellaneous,8,"A regular volunteer radio presenter of a retro weekend show for the local community radio station, Mid Sussex Radio (previously Burgess Hill Radio)."
1416,,David Davis,conservative,373,10162,Miscellaneous,8,"Unremunerated board member, New City Network (London) Ltd; a not-for-profit think tank aiming to develop ideas and research on financial services policy."
1422,,Dave Doogan,scottish-national-party,4736,25796,Miscellaneous,8,"Councillor, Perth and Kinross Council from 1st January 2020. I receive no allowances for this role."
1429,,Sir Oliver Dowden,conservative,4441,25323,Miscellaneous,8,"A patron of the Peace Hospice, Watford (unpaid)."
1436,,Sarah Dyke,liberal-democrat,4995,26270,Miscellaneous,8,Trustee of Wincanton Recreational Trust. This is an unpaid role.
1437,,Sarah Dyke,liberal-democrat,4995,26270,Miscellaneous,8,Director of Vintage Ghetto (unpaid).
1446,,Jess Phillips,labour,4370,25364,Miscellaneous,8,A trustee of the Stacy Wanjiku Welfare Trust. Having raised money for the education and welfare of Stacey Wanjiru I am a trustee of the fund. Stacey is the daughter of Agnes Wanjiru a Kenyan woman murdered in 2012 in a case linked to British Armed Forces. This is an unpaid role.
1448,,Jess Phillips,labour,4370,25364,Miscellaneous,8,A director of Birmingham Museums Trust which manages Birmingham Museums including a site in my constituency. This is an unpaid role.
1449,,Chris Philp,conservative,4503,25377,Miscellaneous,8,A company to which a subsidiary of Pluto Partners LLP provides services became accredited for the Coronavirus Business Interruption Loan Scheme.
1450,,Chris Philp,conservative,4503,25377,Miscellaneous,8,A company in which Millgap Ltd holds beneficial ownership of 0.375% became accredited for the Coronavirus Business Interruption Loan Scheme.
1472,,Rushanara Ali,labour,4138,24958,Miscellaneous,8,"A Trustee of the Sisters Trust, a registered charity that makes donations to organisations committed to challenging racial and sexual inequality. This is an unpaid role."
1474,,Rushanara Ali,labour,4138,24958,Miscellaneous,8,"A Governor (and a Member of the Council of Management until 27/09/24) of The Ditchley Foundation, an organisation that helps sustain peace, freedom and the rule of law; and works towards the renewal of democratic societies, states and alliances. This is an unpaid role."
