id,summary,parent_interest_id,registered,published,updated_1,category,mnis_id,twfy_id,party,member,visit_locations__country_1,visit_locations__destination_1,purpose,start_date,end_date,appg,donors__name_1,donors__is_private_individual_1,donors__public_address_1,donors__payment_type_1,donors__payment_description_1,donors__value_1,donors__is_sole_beneficiary_1,link,visit_locations__country_2,visit_locations__destination_2,donors__name_2,donors__is_private_individual_2,donors__public_address_2,donors__payment_type_2,donors__payment_description_2,donors__value_2,donors__is_sole_beneficiary_2,donors__name_3,donors__is_private_individual_3,donors__public_address_3,donors__payment_type_3,donors__payment_description_3,donors__value_3,donors__is_sole_beneficiary_3,donors__name_4,donors__is_private_individual_4,donors__public_address_4,donors__payment_type_4,donors__payment_description_4,donors__value_4,donors__is_sole_beneficiary_4,donors__name_5,donors__is_private_individual_5,donors__public_address_5,donors__payment_type_5,donors__payment_description_5,donors__value_5,donors__is_sole_beneficiary_5,visit_locations__country_3,visit_locations__destination_3,category_code
14467,International visit to France between 15 January 2026 and 17 January 2026,,2026-02-02,2026-02-02,,Visits outside the UK,3991,24827,conservative,Jesse Norman,France,,To attend the Franco-British Colloque 2026.,,,,Franco-British Colloque Ltd,0,"Station House, Station Approach, East Horsley, Surrey KT24 6QX",In kind,"Food, transfer, and accommodation",1125,1,https://interests-api.parliament.uk/api/v1/Interests/14467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14424,International visit to India between 02 January 2026 and 06 January 2026,,2026-01-28,2026-01-28,,Visits outside the UK,4005,24945,conservative,Bob Blackman,India,,Speaking at a  conference in the Constitutional Club in Jaipur about improving UK-India relations in general and UK-Rajasthan relations in particular. 1:1 meetings with the Deputy Chief Minister; the Speaker of the Assembly; and meetings with members of the State Assembly on a cross-party basis and government officials.,,,,Dreamax Healthcare Private Limited,0,"22, Satya Vihar, Lalkothi, Jaipur (Raj.)-302015",In kind,"Trip to India: flights, accommodation, meals, car & driver",11000,1,https://interests-api.parliament.uk/api/v1/Interests/14424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14431,International visit to Israel between 04 January 2026 and 09 January 2026,,2026-01-28,2026-01-28,,Visits outside the UK,4778,25925,conservative,Greg Smith,Israel,,Fact finding political delegation,,,,Conservative Friends of Israel Ltd (CFI Ltd),0,"PO Box 72288, London SW1P 9LB",In kind,"Air travel, accommodation and hospitality",3200,1,https://interests-api.parliament.uk/api/v1/Interests/14431,Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14408,International visit to Israel between 04 January 2026 and 09 January 2026,,2026-01-26,2026-01-26,,Visits outside the UK,4803,25808,conservative,Paul Holmes,Israel,,Fact Finding political delegation,,,,Conservative Friends of Israel Ltd,0,"PO Box 72288, London SW1P 9LB",In kind,"Flights, accommodation and hospitality",3200,1,https://interests-api.parliament.uk/api/v1/Interests/14408,Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14397,International visit to Switzerland between 21 January 2026 and 22 January 2026,,2026-01-23,2026-01-23,,Visits outside the UK,5091,26352,reform,Nigel Farage,Switzerland,Davos,Speaking engagement,,,,World Economic Forum,0,"World Economic Forum, 91-93 route de la Capite, CH-1223 Geneva, Switzerland",In kind,"(£1,121.83) hotel accommodation for one night.",1121.83,0,https://interests-api.parliament.uk/api/v1/Interests/14397,,,Sasan Ghandehari,1,,In kind,"Accreditation (£50,482.16) cost for me and one staffer",50482.16,0,,,,,,,,,,,,,,,,,,,,,,,,4
14368,International visit to Australia between 26 December 2025 and 06 January 2026,,2026-01-21,2026-01-21,,Visits outside the UK,4787,25866,conservative,James Wild,Australia,Melbourne and Sydney,"Building inter-Parliamentary relations with Australian MPs and
Senators, competing for the Parliamentary Ashes and supporting English cricket.",,,,Horatius Advisory Ltd.,0,"53 Davies Street, London W1K 5JH",Monetary,"Contribution to travel, accommodation and associated costs of The Lords & Commons Cricket team",1375,1,https://interests-api.parliament.uk/api/v1/Interests/14368,,,Deltroit Asset Management (UK) LLP,0,"50 Pall Mall, London SW1Y 5JH",Monetary,"Contribution to travel, accommodation and associated costs of The Lords & Commons Cricket team visit to Australia.",1375,1,,,,,,,,,,,,,,,,,,,,,,,,4
14377,International visit to Qatar between 05 December 2025 and 08 December 2025,,2026-01-21,2026-01-21,,Visits outside the UK,4495,25346,conservative,Kit Malthouse,Qatar,Doha,"The Doha Forum is held annually with the aim of promoting dialogue, bringing together leaders in policy making to discuss challenges facing the world.

This year's speakers included Bill Gates, Hillary Clinton, Donald Trump Jnr and leaders of Qatar, Syria, Lebanon",,,,State of Qatar,1,,In kind,"Flights (£8,075) and accommodation, food and beverage (£400)",8475,1,https://interests-api.parliament.uk/api/v1/Interests/14377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14361,International visit to Israel between 04 January 2026 and 09 January 2026,,2026-01-20,2026-01-20,,Visits outside the UK,4936,26059,unknown,Anna Firth,Israel,,Fact finding political delegation,,,,Conservative Friends of Israel,0,"PO Box 72288, London SW1P 9LB",In kind,"Air travel, accommodation and hospitality with an estimated value of £3,200",3200,1,https://interests-api.parliament.uk/api/v1/Interests/14361,Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14356,International visit to Ireland between 08 January 2026 and 11 January 2026,,2026-01-19,2026-01-19,,Visits outside the UK,5280,26534,scottish-national-party,Seamus Logan,Ireland,Dublin,Peace and Reconciliation Conference,,,,Artsawonder,0,"50, Shore Road, Rostrevor, Co. Down, N. Ireland BT34 3AA",In kind,"Accommodation ( bed and breakfast), two meals and two taxi's",385.86,1,https://interests-api.parliament.uk/api/v1/Interests/14356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
14349,International visit to Australia between 26 December 2025 and 06 January 2026,,2026-01-19,2026-01-19,,Visits outside the UK,1482,11406,conservative,Graham Stuart,Australia,Melbourne and Sydney,"Building inter-Parliamentary relations with Australian MPs and Senators, competing for the Parliamentary Ashes and supporting English cricket.",,,,Horatius Advisory Ltd,0,"53 Davies Street, London W1K 5JH",Monetary,"Contribution to travel, accommodation and associated costs of The Lords & Commons Cricket team",1375,1,https://interests-api.parliament.uk/api/v1/Interests/14349,,,Deltroit Asset Management (UK) LLP,0,"50 Pall Mall, London SW1Y 5JH",Monetary,"Contribution to travel, accommodation and associated costs of The Lords & Commons Cricket team",1375,1,,,,,,,,,,,,,,,,,,,,,,,,4
