id,appg,category,donors_isprivateindividual_1,donors_isprivateindividual_2,donors_isprivateindividual_3,donors_isprivateindividual_4,donors_isprivateindividual_5,donors_issolebeneficiary_1,donors_issolebeneficiary_2,donors_issolebeneficiary_3,donors_issolebeneficiary_4,donors_issolebeneficiary_5,donors_name_1,donors_name_2,donors_name_3,donors_name_4,donors_name_5,donors_paymentdescription_1,donors_paymentdescription_2,donors_paymentdescription_3,donors_paymentdescription_4,donors_paymentdescription_5,donors_paymenttype_1,donors_paymenttype_2,donors_paymenttype_3,donors_paymenttype_4,donors_paymenttype_5,donors_publicaddress_1,donors_publicaddress_2,donors_publicaddress_3,donors_publicaddress_4,donors_publicaddress_5,donors_value_1,donors_value_2,donors_value_3,donors_value_4,donors_value_5,end_date,link,member,mnis_id,parent_interest_id,published,purpose,registered,source_archive,start_date,summary,twfy_id,updated_1,visitlocations_country_1,visitlocations_country_2,visitlocations_country_3,visitlocations_destination_1,visitlocations_destination_2,visitlocations_destination_3
11715,Switzerland,Visits outside the UK,True,False,,,,False,False,,,,Skigruppe der Bundesversammlung,Davos Klosters Bergbahnen AG,,,,"For my husband and I, ski pass (one person), ski guides, formal dinner and receptions (value approximate)","For my husband and I, ski pass (one person), value £373. I paid all other costs",,,,In kind,In kind,,,,,"Brämabühlstrasse 11, CH- 7270 Davos Platz",,,,1045.00,1418.00,,,,2025-01-07,https://interests-api.parliament.uk/api/v1/Interests/11715,Alison Griffiths,5203,,2025-01-27,"Participation in the 69th Annual British-Swiss Parliamentary ski week with the APPG for Switzerland, including political meetings with Swiss Parliamentarians and diplomats.",2025-01-27,Apr07_25,2024-12-31,International visit to Switzerland between 31 December 2024 and 07 January 2025,,,Switzerland,,,Davos,,
11683,APPG for Switzerland,Visits outside the UK,True,False,False,,,True,True,False,,,"Skigruppe der Bundesversammlung, c/o Daniela Schneeberger",Landschaft Davos,British Embassy Berne,,,Ski guiding,Ski passes,Formal Dinner and receptions,,,In kind,In kind,In kind,,,,"Rathaus, Berglilstutz1, CH - 7270 Davos Platz","Thunstrasse 50, CH - 3005 Bern",,,894.90,1206.33,670.28,,,2025-01-07,https://interests-api.parliament.uk/api/v1/Interests/11683,Jerome Mayhew,4739,,2025-01-24,"69th Annual British-Swiss Parliamentary ski week with the APPG for Switzerland, including political meetings with Swiss Parliamentarians and the British and Swizz Ambassadors.",2025-01-23,Apr07_25,2025-01-01,International visit to Switzerland between 01 January 2025 and 07 January 2025,,,Switzerland,,,,,
11686,,Visits outside the UK,False,True,,,,False,False,,,,Landschaft Davos,Skigruppe der Bundesversammlung,,,,"For two people, discounted ski-passes and guiding","For two people, hospitality (I paid all other costs)",,,,In kind,In kind,,,,"Landschaft Davos, Rathaus, Berglilstutz1, CH – 7270 Davos Platz",,,,,973.00,324.00,,,,2025-01-05,https://interests-api.parliament.uk/api/v1/Interests/11686,Andrew Griffith,4874,,2025-01-23,Participation in 69th Annual British-Swiss Parliamentary ski week.,2025-01-23,Apr07_25,2025-01-01,International visit to Switzerland between 01 January 2025 and 05 January 2025,,,Switzerland,,,,,
11674,APPG on Turkey,Visits outside the UK,False,,,,,True,,,,,Yunus Emre Institute,,,,,"Flights, accommodation and meals",,,,,In kind,,,,,"10 Maple Street, London W1T 5HA",,,,,1150.00,,,,,2024-12-27,https://interests-api.parliament.uk/api/v1/Interests/11674,Tahir Ali,4747,,2025-01-20,"As Chair of APPG Turkey to enhance understanding of Turkish culture and history, as well as to foster strong bilateral relations. Meeting with prominent business leaders including representative from the Istanbul Chamber of Commerce, to explore opportunities for improving trade relations and collaboration between the UK and Turkey.",2025-01-20,Apr07_25,2024-12-23,International visit to Turkey between 23 December 2024 and 27 December 2024,,,Turkey,,,Istanbul,,
11649,,Visits outside the UK,False,,,,,False,,,,,UK Bangladesh Catalysts of Commerce & Industry,,,,,"Travel (£1570.00), hotel (£780.00), local transport (£56.00). (My son travelled with me but I paid for his flight tickets etc, personally)",,,,,In kind,,,,,"UK Bangladesh Catalysts of Commerce & Industry
Unit- S1, The Montefiore Centre, Hanbury Street, London E1 5HZ",,,,,2406.00,,,,,2025-01-09,https://interests-api.parliament.uk/api/v1/Interests/11649,Dr Rupa Huq,4511,,2025-01-10,"Delegation to meet with national politicians, business leaders and local journalists to see the latest political, cultural and trade developments in the country.",2025-01-10,Apr07_25,2025-01-02,International visit to Bangladesh between 02 January 2025 and 09 January 2025,,,Bangladesh,,,,,
11648,,Visits outside the UK,False,,,,,True,,,,,Doha Forum,,,,,"Flights, accommodation, meal and transportation combined",,,,,In kind,,,,,"Ministry of Foreign Affairs, Almirqab Tower, West Bay, Doha Qatar",,,,,5955.00,,,,,2024-12-09,https://interests-api.parliament.uk/api/v1/Interests/11648,Dr Rupa Huq,4511,,2025-01-10,"To participate in the Doha Forum 2024 on Diplomacy, Dialogue and Diversity, including meetings with fellow cross-party Parliamentarians, political representatives of other countries and Qatari Ministers to discuss Qatar's role in seeking to resolve current regional conflicts.",2025-01-10,Apr07_25,2024-12-05,International visit to Qatar between 05 December 2024 and 09 December 2024,,,Qatar,,,Doha,,
11618,,Visits outside the UK,False,,,,,True,,,,,Coalition for Global Prosperity,,,,,"Visa (£24), travel (flights and cars) (£3142.20), hotel (£499), food and refreshments (£109.58)",,,,,In kind,,,,,"1 Horse Guards Avenue, London SW1A 2HU",,,,,3774.78,,,,,2024-12-06,https://interests-api.parliament.uk/api/v1/Interests/11618,Jerome Mayhew,4739,,2025-01-08,Vvisit to Nepal to see UK Development programmes ‘in-action’ and to meet with Nepalese foreign policy experts.,2025-01-08,Apr07_25,2024-12-01,International visit to Nepal between 01 December 2024 and 06 December 2024,,,Nepal,,,,,
11616,,Visits outside the UK,False,,,,,True,,,,,Somaliland Foreign Ministry,,,,,"Flights, accommodation, meals and miscellaneous costs",,,,,In kind,,,,,"Sha'ab Area Presidency Road 1 Hargeisa,90501",,,,,6352.83,,,,,2024-12-15,https://interests-api.parliament.uk/api/v1/Interests/11616,Sir Gavin Williamson,4108,,2025-01-08,To attend the inauguration of the President,2025-01-08,Apr07_25,2024-12-09,International visit to Somalia between 09 December 2024 and 15 December 2024,,,Somalia,,,,,
11484,,Visits outside the UK,False,,,,,False,,,,,Kosovo Ministry of Foreign Affairs,,,,,"Flights (£289.29), hotel (£131.88)",,,,,In kind,,,,,"Ruga Luan Haradinaj, Shesi Nene Tereza, 10000, Pristina Kosovo.",,,,,421.17,,,,,2024-11-16,https://interests-api.parliament.uk/api/v1/Interests/11484,Fabian Hamilton,415,,2025-01-08,To engage with members of the Government and Parliament of Kosovo and to learn about the challenges facing the country at present and in the future. To assess progress made since independence in 2008.,2025-01-07,Apr07_25,2024-11-14,International visit to Kosovo between 14 November 2024 and 16 November 2024,,,Kosovo,,,Pristina,,
11586,,Visits outside the UK,False,,,,,True,,,,,Ministry of Foreign Affairs,,,,,"Flights, accommodation and food, value",,,,,In kind,,,,,"Almirqab Tower, West Bay, Doha, Qatar",,,,,5955.00,,,,,2024-12-09,https://interests-api.parliament.uk/api/v1/Interests/11586,Alex Sobel,4658,,2025-01-06,"To participate at the Doha Forum 2024 on Diplomacy, Dialogue and Diversity, including meetings with fellow cross-party Parliamentarians, political representatives of other countries and Qatari Ministers to discuss Qatar's role in seeking to resolve current regional conflicts.",2025-01-05,Apr07_25,2024-12-06,International visit to Qatar between 06 December 2024 and 09 December 2024,,,Qatar,,,Doha,,
